name,slug,website,careers_url,ats,ats_slug,area,lat,lng,industry,stage,headcount_band
Druva,druva,https://www.druva.com,https://www.druva.com/about/careers,greenhouse,druva,Hinjawadi,18.5913,73.7389,SaaS / Data Protection,late,1000+
PubMatic,pubmatic,https://pubmatic.com,https://pubmatic.com/careers/,greenhouse,pubmatic,Baner,18.5642,73.7769,AdTech,public,1000+
Mindtickle,mindtickle,https://www.mindtickle.com,https://www.mindtickle.com/careers/,lever,mindtickle,Baner,18.5642,73.7769,SaaS / Sales Enablement,late,500-1000
Icertis,icertis,https://www.icertis.com,https://www.icertis.com/company/careers/,,,Hinjawadi,18.5913,73.7389,SaaS / Contract Lifecycle,late,1000+
FirstCry,firstcry,https://www.firstcry.com,https://www.firstcry.com/careers,,,Magarpatta,18.5158,73.9280,E-commerce,public,1000+
ElasticRun,elasticrun,https://www.elasticrun.in,https://www.elasticrun.in/careers,,,Baner,18.5642,73.7769,Logistics / B2B Commerce,late,1000+
Vayana Network,vayana,https://www.vayana.com,https://www.vayana.com/careers,,,Baner,18.5642,73.7769,FinTech / Trade Finance,growth,200-500
Zenduty,zenduty,https://zenduty.com,https://zenduty.com/careers,,,Baner,18.5642,73.7769,DevTools / Incident Response,seed,10-50
Lentra,lentra,https://www.lentra.ai,https://www.lentra.ai/careers/,,,Kharadi,18.5515,73.9470,FinTech / Lending SaaS,growth,500-1000
AgroStar,agrostar,https://agrostar.in,https://agrostar.in/careers,,,Baner,18.5642,73.7769,AgriTech,growth,500-1000
Ecozen,ecozen,https://www.ecozensolutions.com,https://www.ecozensolutions.com/careers,,,Baner,18.5642,73.7769,ClimateTech / AgriTech,growth,200-500
Repos Energy,repos-energy,https://www.reposenergy.com,https://www.reposenergy.com/careers,,,Kalyani Nagar,18.5480,73.9030,Energy / Mobility,growth,200-500
FlytBase,flytbase,https://www.flytbase.com,https://www.flytbase.com/careers,,,Baner,18.5642,73.7769,Drone Autonomy,seed,50-200
Loop Health,loop-health,https://www.loophealth.com,https://www.loophealth.com/careers,smartrecruiters,loophealth,Koregaon Park,18.5362,73.8939,HealthTech / Insurance,growth,200-500
Quick Heal,quick-heal,https://www.quickheal.co.in,https://www.quickheal.co.in/careers,,,Shivajinagar,18.5308,73.8470,Cybersecurity,public,1000+
